###############################################################################
###############################################################################

RK45 RESULTS

Tolerance:	0.001 * y_n

###############################################################################
###############################################################################

t	, y(t)	, Δt	, LTE
0.000000, 1.000000, 0.500000, 0.000000
0.672227, 1.175772, 0.672227, 0.000227
1.367982, 1.833350, 0.695755, 0.000985
2.110369, 2.664532, 0.742387, 0.001319
2.989944, 3.334364, 0.879575, 0.001136
4.499515, 3.393585, 1.509571, 0.000223
6.253775, 2.664187, 1.754260, -0.001593
7.983370, 4.369731, 1.729595, 0.002651
9.800009, 6.137671, 1.816639, 0.003401
12.359885, 5.716334, 2.559876, -0.001099
14.681011, 8.833577, 2.321127, 0.005688
17.448060, 10.970678, 2.767049, 0.003651
20.776197, 14.251435, 3.328137, 0.004336
