###############################################################################
###############################################################################

RK45 RESULTS

Tolerance:	1e-06 * y_n

###############################################################################
###############################################################################

t	, y(t)	, Δt	, LTE
0.000000, 1.000000, 0.500000, 0.000000
0.006233, 1.000643, 0.006233, 0.000001
0.012116, 1.001286, 0.005883, 0.000001
0.017703, 1.001929, 0.005586, 0.000001
0.023034, 1.002571, 0.005331, 0.000001
0.028142, 1.003214, 0.005108, 0.000001
0.033053, 1.003858, 0.004912, 0.000001
0.037790, 1.004501, 0.004736, 0.000001
0.042369, 1.005145, 0.004579, 0.000001
0.046805, 1.005788, 0.004437, 0.000001
0.051112, 1.006432, 0.004307, 0.000001
0.055300, 1.007077, 0.004188, 0.000001
0.059379, 1.007722, 0.004079, 0.000001
0.063357, 1.008367, 0.003978, 0.000001
0.067242, 1.009012, 0.003885, 0.000001
0.071039, 1.009657, 0.003797, 0.000001
0.074755, 1.010303, 0.003716, 0.000001
0.078395, 1.010950, 0.003640, 0.000001
0.081964, 1.011596, 0.003568, 0.000001
0.085465, 1.012243, 0.003501, 0.000001
0.088902, 1.012891, 0.003437, 0.000001
0.092279, 1.013538, 0.003377, 0.000001
0.095600, 1.014187, 0.003320, 0.000001
0.098866, 1.014835, 0.003266, 0.000001
0.102081, 1.015484, 0.003215, 0.000001
0.105247, 1.016133, 0.003166, 0.000001
0.108366, 1.016783, 0.003119, 0.000001
0.111441, 1.017433, 0.003075, 0.000001
0.114473, 1.018083, 0.003032, 0.000001
0.117464, 1.018734, 0.002991, 0.000001
0.120416, 1.019385, 0.002952, 0.000001
0.123330, 1.020036, 0.002914, 0.000001
0.126208, 1.020688, 0.002878, 0.000001
0.129052, 1.021340, 0.002844, 0.000001
0.131862, 1.021993, 0.002810, 0.000001
0.134640, 1.022646, 0.002778, 0.000001
0.137387, 1.023300, 0.002747, 0.000001
0.140104, 1.023953, 0.002717, 0.000001
0.142792, 1.024608, 0.002688, 0.000001
0.145452, 1.025262, 0.002660, 0.000001
0.148084, 1.025917, 0.002633, 0.000001
0.150691, 1.026573, 0.002607, 0.000001
0.153272, 1.027229, 0.002581, 0.000001
0.155829, 1.027885, 0.002557, 0.000001
0.158362, 1.028542, 0.002533, 0.000001
0.160871, 1.029199, 0.002510, 0.000001
0.163358, 1.029856, 0.002487, 0.000001
0.165823, 1.030514, 0.002465, 0.000001
0.168267, 1.031172, 0.002444, 0.000001
0.170690, 1.031831, 0.002423, 0.000001
0.173094, 1.032490, 0.002403, 0.000001
0.175477, 1.033150, 0.002384, 0.000001
0.177842, 1.033809, 0.002365, 0.000001
0.180188, 1.034470, 0.002346, 0.000001
0.182515, 1.035130, 0.002328, 0.000001
0.184826, 1.035792, 0.002310, 0.000001
0.187118, 1.036453, 0.002293, 0.000001
0.189395, 1.037115, 0.002276, 0.000001
0.191654, 1.037778, 0.002260, 0.000001
0.193898, 1.038440, 0.002244, 0.000001
0.196126, 1.039104, 0.002228, 0.000001
0.198339, 1.039767, 0.002213, 0.000001
0.200537, 1.040431, 0.002198, 0.000001
0.202720, 1.041096, 0.002183, 0.000001
0.204889, 1.041760, 0.002169, 0.000001
0.207044, 1.042426, 0.002155, 0.000001
0.209185, 1.043091, 0.002141, 0.000001
0.211313, 1.043758, 0.002128, 0.000001
0.213428, 1.044424, 0.002115, 0.000001
0.215530, 1.045091, 0.002102, 0.000001
0.217619, 1.045758, 0.002089, 0.000001
0.219696, 1.046426, 0.002077, 0.000001
0.221761, 1.047094, 0.002065, 0.000001
0.223814, 1.047763, 0.002053, 0.000001
0.225855, 1.048432, 0.002041, 0.000001
0.227885, 1.049102, 0.002030, 0.000001
0.229904, 1.049771, 0.002019, 0.000001
0.231911, 1.050442, 0.002008, 0.000001
0.233908, 1.051113, 0.001997, 0.000001
0.235895, 1.051784, 0.001986, 0.000001
0.237870, 1.052455, 0.001976, 0.000001
