###############################################################################
###############################################################################

RK45 RESULTS

Tolerance:	1e-05 * y_n

###############################################################################
###############################################################################

t	, y(t)	, Δt	, LTE
1.672718, 2.352499, 0.011867, 0.000023
1.684652, 2.367098, 0.011933, 0.000023
1.696653, 2.381779, 0.012001, 0.000023
1.708724, 2.396544, 0.012071, 0.000023
1.720866, 2.411391, 0.012142, 0.000023
1.733081, 2.426322, 0.012215, 0.000023
1.745370, 2.441337, 0.012290, 0.000023
1.757737, 2.456436, 0.012366, 0.000024
1.770182, 2.471620, 0.012445, 0.000024
1.782707, 2.486888, 0.012525, 0.000024
1.795315, 2.502241, 0.012608, 0.000024
1.808008, 2.517679, 0.012693, 0.000024
1.820787, 2.533202, 0.012779, 0.000024
1.833655, 2.548811, 0.012868, 0.000024
1.846615, 2.564506, 0.012960, 0.000024
1.859669, 2.580286, 0.013053, 0.000025
1.872818, 2.596153, 0.013150, 0.000025
1.886067, 2.612106, 0.013248, 0.000025
1.899417, 2.628145, 0.013350, 0.000025
1.912870, 2.644270, 0.013454, 0.000025
1.926431, 2.660482, 0.013561, 0.000025
1.940102, 2.676781, 0.013671, 0.000025
1.953885, 2.693166, 0.013783, 0.000026
1.967785, 2.709638, 0.013900, 0.000026
1.981804, 2.726197, 0.014019, 0.000026
1.995945, 2.742842, 0.014142, 0.000026
2.010213, 2.759574, 0.014268, 0.000026
2.024611, 2.776392, 0.014398, 0.000026
2.039143, 2.793296, 0.014532, 0.000026
2.053814, 2.810287, 0.014670, 0.000027
2.068626, 2.827364, 0.014812, 0.000027
2.083585, 2.844526, 0.014959, 0.000027
2.098696, 2.861774, 0.015110, 0.000027
2.113962, 2.879107, 0.015267, 0.000027
2.129390, 2.896524, 0.015428, 0.000027
2.144985, 2.914026, 0.015595, 0.000027
2.160752, 2.931611, 0.015767, 0.000027
2.176697, 2.949279, 0.015945, 0.000028
2.192827, 2.967030, 0.016130, 0.000028
2.209148, 2.984863, 0.016321, 0.000028
2.225668, 3.002776, 0.016519, 0.000028
2.242392, 3.020770, 0.016725, 0.000028
2.259330, 3.038842, 0.016938, 0.000028
2.276490, 3.056992, 0.017160, 0.000028
2.293880, 3.075218, 0.017390, 0.000028
2.311510, 3.093520, 0.017630, 0.000029
2.329389, 3.111895, 0.017880, 0.000029
2.347529, 3.130342, 0.018140, 0.000029
2.365941, 3.148858, 0.018412, 0.000029
2.384637, 3.167443, 0.018696, 0.000029
2.403629, 3.186093, 0.018993, 0.000029
2.422933, 3.204806, 0.019304, 0.000029
2.442564, 3.223579, 0.019630, 0.000029
2.462537, 3.242409, 0.019973, 0.000029
2.482871, 3.261292, 0.020334, 0.000030
2.503584, 3.280225, 0.020714, 0.000030
2.524699, 3.299203, 0.021114, 0.000030
2.546237, 3.318221, 0.021538, 0.000030
2.568224, 3.337274, 0.021987, 0.000030
2.590688, 3.356357, 0.022464, 0.000030
2.613659, 3.375461, 0.022971, 0.000030
2.637172, 3.394579, 0.023512, 0.000030
2.661262, 3.413704, 0.024091, 0.000030
2.685974, 3.432824, 0.024712, 0.000030
2.711354, 3.451929, 0.025380, 0.000030
2.737455, 3.471006, 0.026101, 0.000030
2.764338, 3.490040, 0.026883, 0.000030
2.792073, 3.509014, 0.027735, 0.000030
2.820740, 3.527908, 0.028667, 0.000030
